商品編號,商品名稱,單價
000259 , 得意的一天5珍寶健康油600ml,161
012034 , 麥迪森歐可潔多功能保養液,99
014968 , 小甘菊手足龜裂修護霜20ml,89
015066 , (區)曬衣耐隆鍵-15R-福,130
031356 , (A)*純喫茶綠茶650ml(盒),25
031369 , (A)*純喫茶紅茶650ml(盒),25
032085 , 統一營養強化高鐵牛奶400ml,34
032412 , *泰山純水PET700,23
033471 , 冰戀雙旋冰淇淋-巧克力香草,40
034142 , 健酪乳酸飲料PET580,30
034278 , 美粒果柳橙汁PET450,29
034883 , 杜老爺雙倍巧克力甜筒,49
035635 , 愛之味純濃燕麥(原味)290ml,35
035813 , (A)*愛之味健康油切分解茶PET590,35
036225 , *瑞穗蘋果牛奶290ml,32
036238 , 瑞穗果汁牛奶290ml,32
036241 , *瑞穗巧克力牛奶290ml,32
036254 , 瑞穗蘋果牛奶930ml,80
036270 , (選) 瑞穗巧克力牛奶930ml,80
036283 , OPEN小將杯裝穀物麥芽乳飲品,32
036296 , OPEN小將杯裝穀物乳飲品,32
036801 , 孔雀捲心餅咖啡,32
036856 , (選)芙洛樺智利紅葡萄酒,299
037022 , 97春節紳藍12年+迷你酒禮盒,790
037307 , @新貴派綜合巧克力禮盒,290
038272 , 台糖蠔蜆精,70
053639 , GATSBY強黏造型噴霧(小),100
053642 , GATSBY狂野塑型髮腊(攜帶型),90
053655 , GATSBY超強塑型髮腊(攜帶型),90
055217 , 1號豆骰子,45
055259 , 3M後踵護貼,69
055822 , 舒適牌防滑輕便刀2+1入,59
056700 , 蘇菲彈力貼身日薄翼23cm12片,79
056739 , 撲克牌,30
059211 , 真好禮-Triko巧克力餅坊禮盒,390
072317 , 滋露仙果巧克力風味米果,28
073059 , BeautedeCoco快通酵素,199
073415 , (區)福記香鐵蛋原味28,149
073428 , (區)福記香鐵蛋辣味28,149
073444 , 偉特鮮奶油糖50g,39
073774 , 燃燒機-生咖啡豆可可亞萃取膠囊,39
073790 , 排空機-複合酵素沖泡飲,49
093929 , 勁量鹼性電池9V,159
096139 , 巧菲斯夾心酥(牛奶口味)-增量版,15
096524 , G)泰國Bento辣味魷魚-香蒜口味,39
096537 , G)泰國Bento辣味魷魚-香辣口味,39
096582 , @真好禮萬歲牌真味果物綜合禮盒,429
096702 , 97年中秋威雀18年純麥威士忌禮盒,1380
096760 , 維力炸醬罐175g,85
096773 , 張君雅小妹妹休閒丸子日式串燒,25
100117 , (A)*統一麥香奶茶TP300,10
101095 , 康貝特飲料160,25
101215 , PLUS釘書針,8
101228 , 3M利貼可再貼便條紙,43
101244 , 四維透明膠帶大,50
101257 , 四維PVC膠帶大,48
101600 , (選)鹽(一公斤),18
102164 , 牛頭牌沙茶醬4.5oz,72
102177 , (選)金蘭醬油,60
102193 , 愛之味菜心,50
102203 , 大安白醋(小)300cc,33
102232 , 愛之味脆瓜,50
102287 , (2L)愛之味蔭瓜,50
102326 , 康寶小草莓果醬,59
102371 , 大安烏醋(小)300cc,33
102533 , 愛之味甜辣醬165g,45
103110 , 愛之味土豆麵筋,50
103123 , 愛之味珍保玉筍120g,50
103178 , 蜜妮男性專用黑白柔珠洗面乳100g,135
103482 , 綠巨人玉米粒,75
103783 , 廣達香肉醬罐,56
103819 , (選)紅鷹海底雞罐,75
103945 , 白蘭氏雙認證雞精68ml,79
103961 , 同榮茄汁鯖魚黃罐,50
105183 , (區)250元太陽眼鏡,250
105196 , (區)120元太陽眼鏡,120
105455 , 康乃馨輕柔美學衛生棉日用量多8s,49
106003 , 青箭口香糖(7片條裝),18
106016 , 森永牛奶糖,18
107729 , 新飛壘口香糖(葡萄),15
110660 , 北海鱈魚香絲(中),25
110738 , 翠果子,35
112840 , 營養口糧,16
113265 , 中立麥穗蘇打,36
113980 , 噴效－水性,92
114473 , 天工蒂克潔齒劑,55
116776 , 國際牌錳乾電池3號4入,89
117531 , 指甲剪(小),99
119423 , 統一調和米粉肉燥風味(包),18
119559 , 統一麵鮮蝦風味(包),18
119575 , 統一麵肉燥風味(包),18
119588 , 滿漢大餐珍味牛肉麵,59
119591 , 統一麵鮮蝦風味(碗),23
119601 , 統一麵肉燥風味(碗),23
119698 , 統一麵蔥燒牛肉風味(包),18
119724 , 統一麵蔥燒牛肉風味(碗),23
119753 , (A)滿漢大餐蔥燒牛肉麵,59
119795 , 統一麵肉骨茶風味(包),18
119805 , 統一麵肉骨茶風味(碗),23
120472 , (選)百威啤酒330CC瓶啤,50
122827 , 孔雀餅乾,49
123488 , 高級中式信紙,25
123543 , 白蘿蔔,15
123572 , 豬肉貢丸,15
123682 , 關東煮520cc紙碗,0
123695 , 關東煮850cc紙碗,0
123705 , 關東煮520cc塑膠蓋,0
123718 , 關東煮850cc塑膠蓋,0
124191 , 同榮茄汁鯖魚紅罐,50
124353 , 德恩奈漱口水6oz,99
126533 , 統一調合米粉肉燥風味(碗),23
126601 , 來一客杯麵京燉肉骨風味,25
126957 , 來一客杯麵牛肉蔬菜風味,25
126960 , (A)來一客杯麵鮮蝦魚板風味,25
127136 , (區)羊奶糖,120
127385 , 健達倍多,18
127437 , 農心辛辣白菜風味杯麵,49
127479 , AB草莓優酪乳瓶206ml瓶,28
127521 , 珍珍芝麻鱈絲,30
127725 , (A)健達繽紛樂White(白),49
127819 , 同榮特選燒鰻,55
129390 , 味味Ａ排骨雞湯麵(包),18
129400 , 味味Ａ排骨雞湯麵(碗),23
129426 , (選)龍口粉絲,40
129536 , (選)豊年果糖500G,82
130158 , 盛香珍甘草瓜子,90
130543 , 多多活菌發酵乳原味170ml,12
130556 , 統一布丁--雞蛋口味,12
131227 , 黑松沙士CAN330,25
131324 , (A)*伯朗咖啡CAN240,30
131337 , 伯朗咖啡藍山風味CAN240,30
131829 , (選)大茂黑瓜,37
131890 , 義美花生夾心酥,42
132341 , 可樂果豌豆酥(小),10
132558 , MMS牛奶巧克力,49
132561 , MMS花生巧克力,49
132600 , 士力架花生巧克力,49
134194 , 桂冠沙拉,36
134262 , 中華豆花(花生風味),15
138444 , 利口樂喉糖條裝 31.5g,40
139173 , (A)*台灣啤酒330cc罐.,34
139186 , 台灣啤酒600cc瓶.,55
139254 , 0.3L玉山竹葉青,175
139393 , 玉山白蘭地,520
139403 , (選)紹興酒-區域,210
139694 , 可口可樂PET2000,60
140151 , 美粒果柳橙PET1250,58
141110 , 多喝水鹼性竹炭水PET700,20
141398 , 福樂鮮攪草莓奶茶375ml,25
141819 , 中華甜愛玉,15
142014 , 光泉茉香柚茶400ml,25
142726 , (A)*瑞穗全脂鮮乳230ml,27
142739 , *瑞穗低脂鮮乳230ml,27
142823 , 黑松茶花綠茶PET580,30
143219 , *純喫茶檸檬紅茶650ml(盒),25
143549 , (A)*桂格100%喝的燕麥290ml,35
143675 , 韓國哈密瓜冰淇淋雪糕,35
143992 , 三得利Premium頂級啤酒500ml罐,69
144139 , 白熊洗碗精600g,52
144252 , (A)*純喫茶無糖綠茶650ml(盒),25
144540 , 黑松沙士PET2000,50
146445 , (A)金莎3粒裝,49
147682 , 金莎16粒分享禮盒,275
148230 , 統一龜甲萬醬油500ml,65
148845 , (A)維力炸醬麵(碗),23
148858 , 維力炸醬麵(包),18
148874 , 味王香菇肉羹湯麵(碗),23
148887 , *養樂多100cc,8
149561 , 履歷表,15
151252 , (A)阿Ｑ桶麵紅椒牛肉風味,35
151278 , (選)味王味精,78
154640 , (選)康寶奶油玉米杯湯,57
155308 , 中華油豆腐,15
155528 , 統一木瓜牛乳400ml(盒),35
158657 , *統一麥香紅茶TP375,15
158660 , *統一麥香奶茶TP375,15
158783 , *純喫茶綠茶481ml(盒),20
158796 , *純喫茶紅茶481ml(盒),20
161064 , 多芬旅行組,199
162308 , (選)貝禮詩-香甜酒,590
162777 , (選)玉山58度高粱酒0.6L,430
168731 , 約翰走路黑牌百年紀念限量版,1200
169198 , 白蘭氏學進雞精70g,79
169240 , 城市一族棒狀餅乾-草莓口味,20
169363 , DHC膠原蛋白(10日份）,169
169389 , DHC維他命C(10日份）,89
169703 , 首席劇院蘇維濃紅酒,399
169910 , 喉立爽爽喉軟糖,35
170956 , 米血糕,15
172152 , (A)*海尼根啤酒330cc罐,49
172369 , 乖乖椰子大,30
173315 , 金頂鹼性４號電池４+2入,179
173412 , 勁量鹼性電池3號4+2入,169
173425 , 勁量鹼性電池4號4+2入,169
173519 , 黃酒,180
173920 , 統一脆麵,10
174248 , (A)統一陽光陽光黃金豆豆漿400ml,25
175731 , 愛力檸檬Ｃ片,25
176415 , 乖乖五香大,30
176473 , 歐維氏榛果bar,25
177306 , 金頂鹼性３號電池４+2入,179
177526 , 環保中式信封,20
177542 , 環保奠儀袋,3
177610 , *統一陽光糙米漿400ml(盒),25
178174 , (選)典雅皂盒,40
178190 , 麥迪森芭弗莎林生理食鹽水,65
178349 , *AB原味優酪乳206ml(瓶),28
181992 , 阿Ｑ桶麵生猛海鮮風味,35
182032 , 伯朗咖啡曼特寧風味CAN240,30
183059 , (A)*台灣啤酒500cc罐.,44
184089 , (2L)得意的一天葵花油 1L,168
184720 , 伯朗咖啡禮盒(12入),360
184733 , 伯朗咖啡藍山風味禮盒(12入),360
185006 , 冠億花生糖,50
185378 , (A)北海鱈魚香絲(大),50
